23	24	25	27	28	29	31	32	33	34	36	37	38	39	41	
12	12	12	12	12	12	12	12	12	12	12	12	12	13	13	
16.0	16.0	16.0	16.0	16.0	16.0	15.0	16.0	15.0	16.0	16.0	16.0	15.0	16.0	16.0	
1107.0	1129.0	1134.0	1134.0	1107.0	1115.0	1115.0	1116.0	1123.0	1127.0	1124.0	1105.0	1122.0	1125.0	1115.0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	10	10	11	11	11	11	11	11	11	11	12	11	12	12	
