0	5	6	8	10	12	13	14	15	
12	12	12	12	12	12	12	12	12	
16.0	16.0	16.0	16.0	29.0	17.0	17.0	17.0	17.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0	0	0	0	255	0	0	0	0	
10	10	10	10	11	10	10	11	10	
